agents.sas7bdat.gz,4096,4096
applican.sas7bdat.gz,4096,8192
bank8dte.sas7bdat.gz,20480,28672
bank8dtr.sas7bdat.gz,32768,61440
banks.sas7bdat.gz,4096,65536
beef.sas7bdat.gz,4096,69632
big8.sas7bdat.gz,4096,73728
born.sas7bdat.gz,4096,77824
branches.sas7bdat.gz,4096,81920
candyinfo.sas7bdat.gz,4096,86016
candy.sas7bdat.gz,4096,90112
capital2003.sas7bdat.gz,32768,122880
capital2004.sas7bdat.gz,32768,155648
capital2005.sas7bdat.gz,24576,180224
cars.sas7bdat.gz,4096,184320
cereal.sas7bdat.gz,8192,192512
cfrance2.sas7bdat.gz,4096,196608
cfrance.sas7bdat.gz,77824,274432
cities1.sas7bdat.gz,4096,278528
cities2.sas7bdat.gz,4096,282624
colon.sas7bdat.gz,151552,434176
contributedrevenue2003.sas7bdat.gz,8192,442368
contributedrevenue2004.sas7bdat.gz,8192,450560
contributedrevenue2005.sas7bdat.gz,8192,458752
cookie.sas7bdat.gz,8192,466944
corptrn.sas7bdat.gz,4096,471040
coutline.sas7bdat.gz,28672,499712
daysales.sas7bdat.gz,4096,503808
depress.sas7bdat.gz,4096,507904
dermatology.sas7bdat.gz,8192,516096
donate.sas7bdat.gz,4096,520192
drugprob.sas7bdat.gz,241664,761856
drugtest.sas7bdat.gz,57344,819200
dupsals.sas7bdat.gz,4096,823296
elements.sas7bdat.gz,4096,827392
elongated.sas7bdat.gz,4096,831488
empsals.sas7bdat.gz,4096,835584
environ.sas7bdat.gz,16384,851968
event1.sas7bdat.gz,4096,856064
event2.sas7bdat.gz,16384,872448
event3.sas7bdat.gz,24576,897024
event4.sas7bdat.gz,32768,929792
ex8_1.sas7bdat.gz,4096,933888
eyecarex.sas7bdat.gz,3350528,4284416
f2002be2.sas7bdat.gz,8192,4292608
ffhistory.sas7bdat.gz,4096,4296704
ffmethod.sas7bdat.gz,4096,4300800
Final_Candy.sas7bdat.gz,8192,4308992
