agents.sas7bdat,12288,12288
applican.sas7bdat,16384,28672
bank8dte.sas7bdat,90112,118784
bank8dtr.sas7bdat,155648,274432
banks.sas7bdat,8192,282624
beef.sas7bdat,12288,294912
big8.sas7bdat,16384,311296
born.sas7bdat,8192,319488
branches.sas7bdat,8192,327680
candyinfo.sas7bdat,57344,385024
candy.sas7bdat,36864,421888
capital2003.sas7bdat,450560,872448
capital2004.sas7bdat,425984,1298432
capital2005.sas7bdat,327680,1626112
cars.sas7bdat,16384,1642496
cereal.sas7bdat,20480,1662976
cfrance2.sas7bdat,16384,1679360
cfrance.sas7bdat,200704,1880064
cities1.sas7bdat,8192,1888256
cities2.sas7bdat,8192,1896448
colon.sas7bdat,892928,2789376
contributedrevenue2003.sas7bdat,81920,2871296
contributedrevenue2004.sas7bdat,81920,2953216
contributedrevenue2005.sas7bdat,65536,3018752
cookie.sas7bdat,20480,3039232
corptrn.sas7bdat,12288,3051520
coutline.sas7bdat,118784,3170304
daysales.sas7bdat,8192,3178496
depress.sas7bdat,20480,3198976
dermatology.sas7bdat,122880,3321856
donate.sas7bdat,8192,3330048
drugprob.sas7bdat,712704,4042752
drugtest.sas7bdat,983040,5025792
dupsals.sas7bdat,8192,5033984
elements.sas7bdat,12288,5046272
elongated.sas7bdat,8192,5054464
empsals.sas7bdat,8192,5062656
environ.sas7bdat,163840,5226496
event1.sas7bdat,12288,5238784
event2.sas7bdat,122880,5361664
event3.sas7bdat,188416,5550080
event4.sas7bdat,270336,5820416
ex8_1.sas7bdat,20480,5840896
eyecarex.sas7bdat,25493504,31334400
f2002be2.sas7bdat,57344,31391744
ffhistory.sas7bdat,8192,31399936
ffmethod.sas7bdat,8192,31408128
Final_Candy.sas7bdat,57344,31465472
firo.sas7bdat,368640,31834112
firstsex.sas7bdat,204800,32038912
fish.sas7bdat,28672,32067584
flightdelays.sas7bdat,57344,32124928
flightschedule.sas7bdat,16384,32141312
fltat1.sas7bdat,8192,32149504
fltspts.sas7bdat,8192,32157696
flydays.sas7bdat,8192,32165888
flymiles.sas7bdat,8192,32174080
freqflyers.sas7bdat,8192,32182272
frequentflyers.sas7bdat,40960,32223232
gamblegrp.sas7bdat,57344,32280576
gfrance2.sas7bdat,24576,32305152
gfrance.sas7bdat,200704,32505856
goutline.sas7bdat,118784,32624640
gpa.sas7bdat,12288,32636928
grade.sas7bdat,12288,32649216
growth.sas7bdat,8192,32657408
gss96.sas7bdat,540672,33198080
hltheds2006.sas7bdat,155648,33353728
hotel.sas7bdat,12288,33366016
ilr2003.sas7bdat,24690688,58056704
ilr2004.sas7bdat,38150144,96206848
ilr2005.sas7bdat,35680256,131887104
internationalflights.sas7bdat,16384,131903488
iris.sas7bdat,12288,131915776
loansclosed2003.sas7bdat,106496,132022272
loansclosed2004.sas7bdat,94208,132116480
loansclosed2005.sas7bdat,69632,132186112
mammals.sas7bdat,20480,132206592
marchflights.sas7bdat,77824,132284416
mathattitudes.sas7bdat,241664,132526080
maysales.sas7bdat,8192,132534272
mechanicslevel1.sas7bdat,12288,132546560
mechanicslevel2.sas7bdat,12288,132558848
mechanicslevel3.sas7bdat,12288,132571136
military.sas7bdat,20480,132591616
natlterr1994.sas7bdat,44498944,177090560
natlterr2006.sas7bdat,54857728,231948288
ncaa.sas7bdat,20480,231968768
noday.sas7bdat,8192,231976960
ocd.sas7bdat,12288,231989248
orange.sas7bdat,12288,232001536
orgprofile.sas7bdat,819200,232820736
payrollchanges.sas7bdat,12288,232833024
payrollmaster.sas7bdat,16384,232849408
pcen_v2009_y09.sas7bdat,279252992,512102400
pen.sas7bdat,32768,512135168
people.sas7bdat,12288,512147456
personae.sas7bdat,16384,512163840
phones.sas7bdat,8192,512172032
physeds2006.sas7bdat,155648,512327680
pizza.sas7bdat,28672,512356352
pizzazz.sas7bdat,1171456,513527808
police.sas7bdat,16384,513544192
poor.sas7bdat,12288,513556480
popmort.sas7bdat,356352,513912832
portfolio2003.sas7bdat,90112,514002944
portfolio2004.sas7bdat,671744,514674688
portfolio2005.sas7bdat,2842624,517517312
prices.sas7bdat,8192,517525504
protein.sas7bdat,12288,517537792
rat.sas7bdat,20480,517558272
rduschedule.sas7bdat,36864,517595136
regsals.sas7bdat,8192,517603328
religion.sas7bdat,65536,517668864
salary1.sas7bdat,8192,517677056
salary2.sas7bdat,8192,517685248
salesbyday.sas7bdat,16384,517701632
ski.sas7bdat,20480,517722112
staffchanges.sas7bdat,12288,517734400
staffmaster.sas7bdat,20480,517754880
states.sas7bdat,8192,517763072
storage.sas7bdat,12288,517775360
stores.sas7bdat,20480,517795840
stress.sas7bdat,45056,517840896
students.sas7bdat,8192,517849088
supervisors.sas7bdat,12288,517861376
testans.sas7bdat,8192,517869568
test.sas7bdat,8192,517877760
todaysales.sas7bdat,8192,517885952
transact.sas7bdat,8192,517894144
turkey1.sas7bdat,36864,517931008
turkey2.sas7bdat,45056,517976064
unequal.sas7bdat,12288,517988352
usnavy.sas7bdat,12288,518000640
visits.sas7bdat,8192,518008832
wheat.sas7bdat,28672,518037504
xfrance2.sas7bdat,24576,518062080
xfrance.sas7bdat,200704,518262784
xoutline.sas7bdat,118784,518381568
ymcls_p2_long_040506.sas7bdat,15392768,533774336
yrbs05SAS.sas7bdat,6750208,540524544
yrbscol.sas7bdat,892928,541417472
