agents.sas7bdat.bz2,4096,4096
applican.sas7bdat.bz2,4096,8192
bank8dte.sas7bdat.bz2,16384,24576
bank8dtr.sas7bdat.bz2,24576,49152
banks.sas7bdat.bz2,4096,53248
beef.sas7bdat.bz2,4096,57344
big8.sas7bdat.bz2,4096,61440
born.sas7bdat.bz2,4096,65536
branches.sas7bdat.bz2,4096,69632
candyinfo.sas7bdat.bz2,4096,73728
candy.sas7bdat.bz2,4096,77824
capital2003.sas7bdat.bz2,24576,102400
capital2004.sas7bdat.bz2,24576,126976
capital2005.sas7bdat.bz2,20480,147456
cars.sas7bdat.bz2,4096,151552
cereal.sas7bdat.bz2,8192,159744
cfrance2.sas7bdat.bz2,8192,167936
cfrance.sas7bdat.bz2,61440,229376
cities1.sas7bdat.bz2,4096,233472
cities2.sas7bdat.bz2,4096,237568
colon.sas7bdat.bz2,94208,331776
contributedrevenue2003.sas7bdat.bz2,8192,339968
contributedrevenue2004.sas7bdat.bz2,8192,348160
contributedrevenue2005.sas7bdat.bz2,8192,356352
cookie.sas7bdat.bz2,4096,360448
corptrn.sas7bdat.bz2,4096,364544
coutline.sas7bdat.bz2,24576,389120
daysales.sas7bdat.bz2,4096,393216
depress.sas7bdat.bz2,4096,397312
dermatology.sas7bdat.bz2,8192,405504
donate.sas7bdat.bz2,4096,409600
drugprob.sas7bdat.bz2,208896,618496
drugtest.sas7bdat.bz2,24576,643072
dupsals.sas7bdat.bz2,4096,647168
elements.sas7bdat.bz2,4096,651264
elongated.sas7bdat.bz2,4096,655360
empsals.sas7bdat.bz2,4096,659456
environ.sas7bdat.bz2,12288,671744
event1.sas7bdat.bz2,4096,675840
event2.sas7bdat.bz2,12288,688128
event3.sas7bdat.bz2,16384,704512
event4.sas7bdat.bz2,20480,724992
ex8_1.sas7bdat.bz2,4096,729088
eyecarex.sas7bdat.bz2,1921024,2650112
f2002be2.sas7bdat.bz2,4096,2654208
ffhistory.sas7bdat.bz2,4096,2658304
